路段,事故數量,A1,A2,A3,北上,南下
湖口交流道-竹北交流道,1182,3,60,1119,552,630
中和交流道-土城交流道,934,1,79,854,680,254
泰山轉接道-林口交流道,849,1,67,781,490,359
林口交流道-桃園交流道,818,0,92,726,501,317
鼎金系統交流道-高雄交流道,732,0,43,689,346,386
北斗交流道-西螺交流道,652,0,24,628,359,293
鶯歌系統交流道-大溪交流道,614,0,50,564,355,259
機場系統交流道-內壢交流道,614,0,48,566,236,378
土城交流道-樹林交流道,581,0,50,531,426,155
仁德系統交流道-路竹交流道,564,0,28,536,190,374
五股交流道-泰山轉接道,555,0,34,521,378,177
環北交流道-五股轉接道(高架),531,1,53,477,385,146
岡山交流道-楠梓交流道,523,0,48,475,318,205
竹北交流道-新竹交流道,519,0,34,485,358,161
內湖交流道-圓山交流道,510,0,32,478,239,271
五股轉接道-五股交流道,504,0,37,467,385,119
三義交流道-后里交流道,496,0,29,467,167,329
高架道路楊梅端-湖口交流道,485,1,40,444,184,301
桃園交流道-機場系統交流道,478,1,51,426,120,358
泰山轉接道-機場系統交流道(高架),462,0,76,386,334,128
彰化交流道-埔鹽系統交流道,457,2,40,415,217,240
圓山交流道-台北交流道,451,0,41,410,346,105
高科交流道-岡山交流道,431,2,31,398,201,230
石碇交流道-頭城交流道,427,0,31,396,272,155
嘉義系統交流道-新營交流道,422,1,44,377,213,209
楠梓交流道-鼎金系統交流道,420,0,35,385,250,170
彰化系統交流道-彰化交流道,409,0,32,377,201,208
三重交流道-五股轉接道,397,0,35,362,200,197
員林交流道-北斗交流道,394,0,41,353,261,133
高原交流道-關西交流道,392,0,20,372,89,303
安坑交流道-中和交流道,376,0,31,345,156,220
豐原交流道-大雅交流道,374,0,21,353,136,238
大溪交流道-龍潭交流道,356,0,26,330,246,110
南深路出口匝道-木柵交流道,348,0,50,298,192,156
後龍交流道-通霄交流道,329,1,20,308,167,162
路竹交流道-高科交流道,318,0,24,294,90,228
和美交流道-彰化系統交流道,317,0,20,297,150,167
永康交流道-大灣交流道,312,0,32,280,181,131
麻豆交流道-安定交流道,311,0,27,284,113,198
三鶯交流道-鶯歌系統交流道,307,1,39,267,122,185
中壢轉接道-中壢交流道,301,1,16,284,161,140
台南系統交流道-永康交流道,285,0,31,254,126,159
頭份交流道-頭屋交流道,283,0,29,254,197,86
新竹系統交流道-頭份交流道,278,1,30,247,130,148
樹林交流道-三鶯交流道,272,0,23,249,200,72
中壢交流道-平鎮系統交流道,270,0,27,243,181,89
大雅交流道-台中交流道,267,0,21,246,112,155
新店交流道-安坑交流道,267,1,37,229,89,178
高雄交流道-瑞隆路出口匝道,266,0,18,248,149,117
中壢轉接道-校前路交流道(高架),263,1,25,237,41,222
中港系統交流道-沙鹿交流道,258,0,16,242,225,33
台北交流道-三重交流道,251,0,14,237,181,70
五堵交流道-汐止交流道,249,0,16,233,110,139
新營交流道-下營系統交流道,246,0,33,213,112,134
新竹交流道-新竹系統交流道,245,0,21,224,125,120
南投交流道-名間交流道,235,0,15,220,194,41
埔鹽系統交流道-員林交流道,230,0,19,211,81,149
關西交流道-竹林交流道,226,2,30,194,122,104
木柵交流道-新店交流道,225,0,36,189,146,79
台中系統交流道-豐原交流道,218,0,20,198,84,134
田寮交流道-燕巢系統交流道,214,0,19,195,93,121
安定交流道-台南系統交流道,210,0,18,192,83,127
銅鑼交流道-三義交流道,207,0,26,181,75,132
后里交流道-台中系統交流道,206,0,15,191,82,124
龍潭交流道-高原交流道,203,0,14,189,136,67
南屯交流道-王田交流道,198,0,19,179,102,96
龍井交流道-和美交流道,194,0,21,173,80,114
東湖交流道-內湖交流道,192,1,10,181,131,61
竹林交流道-寶山交流道,187,0,13,174,81,106
中投交流道-霧峰交流道,184,0,16,168,141,43
高架道路汐止端-東湖交流道,177,0,15,162,97,80
新竹系統交流道-茄苳交流道,177,0,12,165,133,44
機場系統交流道-中壢轉接道(高架),174,0,22,152,37,137
霧峰交流道-霧峰系統交流道,171,0,10,161,77,94
楊梅交流道-高架道路楊梅端,164,0,18,146,34,130
堤頂交流道-下塔悠出口匝道(高架),162,0,13,149,68,94
快官交流道-烏日交流道,162,0,9,153,120,42
大灣交流道-仁德交流道,161,0,17,144,82,79
雲林系統交流道-大林交流道,161,0,25,136,96,65
仁德交流道-仁德系統交流道,160,0,19,141,74,86
下營系統交流道-麻豆交流道,158,0,19,139,57,101
茄苳交流道-香山交流道,156,0,21,135,53,103
新化系統交流道-關廟交流道,156,0,15,141,66,90
西螺交流道-虎尾交流道,151,0,14,137,88,63
南港交流道-南港系統交流道,148,0,21,127,90,58
苗栗交流道-銅鑼交流道,148,0,23,125,91,57
民雄交流道-嘉義交流道,139,0,24,115,81,58
香山交流道-西濱交流道,138,1,7,130,54,84
汐止端-堤頂交流道(高架),137,0,10,127,66,71
關廟交流道-田寮交流道,133,0,17,116,87,46
古坑交流道-梅山交流道,132,0,13,119,98,34
通霄交流道-苑裡交流道,131,0,6,125,50,81
白河交流道-柳營交流道,129,1,5,123,94,35
南港系統交流道-石碇交流道,128,0,8,120,70,58
大林交流道-民雄交流道,126,0,17,109,62,64
下塔悠出口匝道-環北交流道(高架),125,0,9,116,89,36
虎尾交流道-斗南交流道,119,0,14,105,61,58
彰化系統交流道-快官交流道,119,2,9,108,69,50
苑裡交流道-大甲交流道,115,1,13,101,41,74
內壢交流道-中壢轉接道,112,0,11,101,51,61
瑞隆路出口匝道-五甲系統交流道,110,0,9,101,52,58
嘉義交流道-水上交流道,109,0,14,95,59,50
竹南交流道-大山交流道,109,1,8,100,77,32
汐止系統交流道-高架道路汐止端,108,0,14,94,71,37
台中交流道-南屯交流道,107,2,7,98,54,53
頭屋交流道-苗栗交流道,105,1,10,94,52,53
寶山交流道-新竹系統交流道,103,0,13,90,65,38
中興交流道-南投交流道,99,0,9,90,62,37
竹崎交流道-中埔交流道,99,0,14,85,32,67
汐止系統交流道-新台五路交流道,98,0,6,92,58,40
大甲交流道-中港系統交流道,98,0,14,84,52,46
大山交流道-後龍交流道,97,3,4,90,60,37
西濱交流道-竹南交流道,96,0,9,87,54,42
五股轉接道-泰山轉接道(高架),92,0,15,77,73,19
沙鹿交流道-龍井交流道,92,0,9,83,54,38
五甲系統交流道-五甲交流道,92,0,7,85,35,57
草屯交流道-中興系統交流道,91,0,6,85,47,44
斗南交流道-雲林系統交流道,90,0,11,79,55,35
平鎮系統交流道-幼獅交流道,87,0,9,78,44,43
瑪東系統交流道-汐止系統交流道,87,0,18,69,20,67
王田交流道-彰化系統交流道,86,0,5,81,36,50
新台五路交流道-南港交流道,82,0,8,74,31,51
梅山交流道-竹崎交流道,81,0,17,64,28,53
燕巢系統交流道-九如交流道,79,0,8,71,45,34
頭城交流道-宜蘭交流道,77,0,5,72,61,16
南雲交流道-斗六交流道,77,0,9,68,39,38
八堵交流道-大華系統交流道,77,0,7,70,20,57
霧峰系統交流道-草屯交流道,76,0,5,71,53,23
崁頂交流道-南州交流道,75,0,4,71,10,65
斗六交流道-古坑系統交流道,75,1,13,61,36,39
柳營交流道-烏山頭交流道,72,0,11,61,35,37
汐止交流道-汐止系統交流道,71,0,3,68,33,38
名間交流道-竹山交流道,67,0,7,60,31,36
烏山頭交流道-官田系統交流道,67,0,10,57,16,51
竹山交流道-南雲交流道,67,1,13,53,46,21
幼獅交流道-楊梅交流道,66,0,5,61,34,32
羅東交流道-蘇澳交流道,66,0,6,60,18,48
基金交流道-瑪東系統交流道,66,0,9,57,44,22
官田系統交流道-善化交流道,65,0,9,56,25,40
大華系統交流道-五堵交流道,60,1,3,56,16,44
九如交流道-屏東交流道,57,0,7,50,27,30
宜蘭交流道-羅東交流道,55,0,8,47,16,39
烏日交流道-中投交流道,54,0,3,51,26,28
麟洛交流道-竹田系統交流道,52,1,6,45,20,32
水上系統交流道-白河交流道,49,1,11,37,26,23
長治交流道-麟洛交流道,46,0,6,40,22,24
竹田系統交流道-崁頂交流道,46,0,5,41,17,29
水上交流道-嘉義系統交流道,45,0,6,39,21,24
五甲交流道-高雄端,41,0,5,36,12,29
中興系統交流道-中興交流道,40,0,5,35,17,23
善化交流道-新化系統交流道,39,1,7,31,18,21
基隆端-基隆交流道,30,0,6,24,15,15
中埔交流道-水上系統交流道,27,0,6,21,10,17
屏東交流道-長治交流道,21,0,8,13,15,6
基隆交流道-八堵交流道,19,0,3,16,9,10
南州交流道-林邊交流道,12,0,1,11,3,9
古坑系統交流道-古坑交流道,10,0,2,8,8,2
